,0,1,2,3
843,2020.11.24.,경북매일신문,김천시 귀농·귀촌 홍보영상 제작,"영상에는 김천에 정착해 전통주와 천연발효식초를 빚는 명인 정현선씨와 된장 등 발효음식을 6차산업화 한 임미숙씨, 자두를 재배해 체험농장으로 발전시킨 청년농부 여득기씨가 등장한다. 또 샤인마스켓을 생산하는..."
844,2020.11.24.,대경일보,귀농 희망 샘솟는 김천시 홍보 영상,"10분짜리 이 영상은 김천에 정착해 전통주와 천연발효식초를 빚는 명인 정현선씨와 된장 등 발효음식을 6차산업화 한 임미숙 씨, 자두를 재배해 체험농장으로 발전시킨 청년농부 여득기 씨가 등장한다. 또 샤인마스켓을..."
845,2020.11.24.,국제뉴스,"희망농촌 김천, 귀농홍보영상 제작","희망농촌 김천, 귀농홍보영상 제작(사진=김천시) 이 영상은 김천에 정착해 전통주와 천연발효식초를 빚는 명인 정현선씨와 된장 등 발효음식을 6차산업화 한 비즈니스전문가 임미숙씨, 자두를 재배해 체험농장으로..."
846,2020.11.24.,농민신문,“혼술·홈술엔 전통주가 제격”…코로나 영향으로 전통주 인기,술로 전통주에 관심을 갖는 소비자가 늘고 있다. aT(한국농수산식품유통공사)가 최근 발표한 식품시장... 혼술·홈술족이 늘어나며 전통주에 대한 관심도 덩달아 높아졌다. 최근 소셜 연관어 분석 결과 전통주의 연관...
847,2020.11.24.,뉴스엔,"달수빈, 김희숙 명인과 함께 찍은 사진 공개 “제 인생 술이었습니다”",어떤 일들을 마주하더라도 명인 님의 말씀처럼 마음을 닦으며 행하고 싶습니다 #김희숙 명인님 #제주고 소리 술 #제주도 소리 술 익는 집 #제주 #오메기 술 #전통주”라는 글과 함께 사진을 올렸다. 공개된 사진 속...
848,2020.11.24.,디스커버리뉴스,"희망농촌 김천, 귀농홍보영상 제작","이 영상은 김천에 정착해 전통주와 천연발효식초를 빚는 명인 정현선씨와 된장 등 발효음식을 6차산업화 한 비즈니스전문가 임미숙씨, 자두를 재배해 체험농장으로 발전시킨 청년농부 여득기씨, 샤인마스켓을 생산부터..."
849,2020.11.24.,부산일보,"워커힐, 프라이빗 룸파티 룸서비스 '욜로(YOLO)' 세트 선보여","또 젊은 세대의 취향을 반영한 B 세트에는 딸기를 숙성시킨 전통주로 최근 룸파티용 칵테일 리큐르로 호응을 얻고 있는 '티나' 1병(750mL)과 토닉 워터 6개가 포함된다. 스페셜 세트 이용 시, A세트와 동일한 보드카 칵테일..."
850,2020.11.24.,뉴스1,"김천시, 귀농·귀촌 홍보동영상 제작…귀농 성공 6인 체험담 소개","10분짜리 이 영상은 김천에 정착해 전통주와 천연발효식초를 빚는 명인 정현선씨와 된장 등 발효음식을 6차산업화 한 임미숙씨, 자두를 재배해 체험농장으로 발전시킨 청년농부 여득기씨가 등장한다. 또 샤인마스켓을..."
851,2020.11.24.,디지틀조선일보,"셀프체크인·아웃 시스템, 포장 배달 강화 등 호텔업계, 비대면 서비스 강화","또한, 젊은 세대의 취향을 반영한 B 세트에는 딸기를 숙성시킨 전통주로 최근 룸파티용 칵테일 리큐르로 호응을 얻고 있는 ‘티나’ 1병(750ml)과 토닉 워터 6개가 포함된다. 스페셜 세트 이용 시, A세트와 동일한 보드카..."
852,2020.11.24.,시사저널,"[예천24시] 예천군, 2021년 본예산 사상 첫 5000억원 돌파","영탁막걸리 '베스트 전통주' 수상 경북 예천군은 2021년 본예산안을 5216억 원 편성했다고 24일 밝혔다. 5000억... ◇예천양조 백구영대표, 영탁막걸리 베스트 전통주 수상 영탁막걸리로 전국적인 명성을 높여가고 있는..."
